v = 2
a = 7
(b1, b2) = (6, 25)
c = 114
(d1, d2) = (36, 1)
(e1, e2) = (13, 10)
(f1, f2) = (32, 2)
(g1, g2) = (2, 8)
(h1, h2) = (16, 39)
(i1, i2) = (7, 9)
l = 2


Vertici 40
0 1 8
0 2 10
0 3 10
0 4 4
0 5 5
0 6 4
0 7 2
0 8 8
0 9 5
0 10 9
0 11 8
0 12 5
0 13 10
0 14 8
0 15 9
0 16 9
0 17 2
0 18 4
0 19 7
0 20 6
0 21 6
0 22 8
0 23 8
0 24 4
0 25 7
0 26 8
0 27 7
0 28 6
0 29 2
0 30 6
0 31 7
0 32 10
0 33 6
0 34 5
0 35 9
0 36 9
0 37 10
0 38 9
0 39 7
1 2 9
1 3 7
1 4 4
1 5 4
1 6 8
1 7 9
1 8 6
1 9 7
1 10 8
1 11 7
1 12 7
1 13 11
1 14 8
1 15 8
1 16 8
1 17 7
1 18 7
1 19 4
1 20 7
1 21 5
1 22 5
1 23 7
1 24 7
1 25 4
1 26 8
1 27 2
1 28 7
1 29 9
1 30 5
1 31 7
1 32 8
1 33 6
1 34 6
1 35 6
1 36 2
1 37 4
1 38 7
1 39 8
2 3 9
2 4 8
2 5 9
2 6 10
2 7 8
2 8 3
2 9 11
2 10 6
2 11 8
2 12 5
2 13 10
2 14 8
2 15 9
2 16 9
2 17 11
2 18 8
2 19 9
2 20 6
2 21 10
2 22 4
2 23 8
2 24 8
2 25 6
2 26 10
2 27 7
2 28 10
2 29 10
2 30 6
2 31 7
2 32 9
2 33 6
2 34 8
2 35 8
2 36 7
2 37 9
2 38 3
2 39 8
3 4 7
3 5 7
3 6 9
3 7 8
3 8 8
3 9 11
3 10 11
3 11 6
3 12 8
3 13 10
3 14 12
3 15 10
3 16 10
3 17 9
3 18 6
3 19 8
3 20 5
3 21 9
3 22 6
3 23 7
3 24 6
3 25 3
3 26 8
3 27 7
3 28 9
3 29 8
3 30 4
3 31 7
3 32 7
3 33 9
3 34 5
3 35 6
3 36 5
3 37 7
3 38 6
3 39 8
4 5 7
4 6 7
4 7 6
4 8 5
4 9 4
4 10 7
4 11 8
4 12 3
4 13 7
4 14 5
4 15 9
4 16 10
4 17 6
4 18 4
4 19 7
4 20 7
4 21 2
4 22 5
4 23 5
4 24 6
4 25 4
4 26 9
4 27 5
4 28 5
4 29 6
4 30 6
4 31 9
4 32 7
4 33 2
4 34 6
4 35 7
4 36 6
4 37 8
4 38 5
4 39 9
5 6 5
5 7 7
5 8 6
5 9 7
5 10 4
5 11 7
5 12 10
5 13 8
5 14 6
5 15 4
5 16 4
5 17 3
5 18 7
5 19 4
5 20 9
5 21 5
5 22 6
5 23 10
5 24 9
5 25 8
5 26 6
5 27 2
5 28 7
5 29 7
5 30 5
5 31 7
5 32 12
5 33 7
5 34 7
5 35 6
5 36 6
5 37 8
5 38 10
5 39 8
6 7 6
6 8 11
6 9 7
6 10 6
6 11 8
6 12 6
6 13 6
6 14 4
6 15 8
6 16 9
